Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
,,,,1.84,,-2.87,,-3.89,,2.16,0.18,-0.86,2.32,-2.61,-2.96,3.11,1.79,-3.79,,,,3.62,1.54
,,,,2.16,,-3,,-3.79,,2.26,0.16,-0.92,2.42,-2.61,-2.99,3.47,1.89,-3.79,,,,3.62,1.53
,,,,3.21,,-3,,-3.79,,2.37,0.15,-1.01,2.42,-2.61,-2.99,3.47,1.89,-3.79,,,,3.64,1.51
,,,,3.32,,-2.82,,-3.42,,2.47,0.13,-1.15,2.63,-2.59,-3.02,3.58,2.32,-3.79,,,,3.64,1.48
,,,,3.42,,-2.61,,-3.32,,2.58,0.12,-1.2,2.63,-2.59,-3.05,3.58,2.32,-3.79,,,,3.64,1.46
,,,,3.84,,-2.03,,-3.11,,2.79,0.06,-1.29,2.74,-2.59,-3.12,4,2.53,-3.78,,,,3.67,1.46
,,,,3.95,,-1.38,,-3,,2.89,0.05,-1.39,2.74,-2.56,-3.18,4,2.53,-3.76,,,,3.67,1.44
,,,,4.32,,-1.29,,-2.89,,3,0,-1.48,2.84,-2.56,-3.21,4.05,2.63,-3.75,,,,3.72,1.41
,,,,4.32,,-1.27,,-2.79,,3.11,-0.05,-1.54,2.84,-2.53,-3.23,,2.63,-3.75,,,,3.64,1.38
,,,,4.37,,-1.25,,-2.68,,3.32,-0.05,-1.63,3.05,-2.53,-3.29,,2.74,-3.73,,,,3.19,1.37
,,,,,,-1.25,,-2.58,,3.42,-0.06,-1.73,3.05,-2.51,-3.29,,2.74,-3.72,,,,1.81,1.37
,,,,,,-1.25,,-2.42,,3.89,-0.08,-1.78,3.16,-2.48,-3.33,,2.84,-3.69,,,,0.92,1.33
,,,,,,-1.22,,-2.42,,3.89,-0.13,-1.82,3.16,-2.47,-3.36,,2.84,-3.68,,,,-0.67,1.33
,,,,,,-1.2,,-2.32,,4.21,-0.16,-1.97,3.26,-2.45,-3.39,,2.95,-3.68,,,,-2.05,1.28
,,,,,,-1.18,,-2.32,,4.21,-0.19,-2.02,3.26,-2.44,-3.42,,2.95,-3.66,,,,-3.04,1.27
,,,,,,-1.18,,-1.95,,4.32,-0.22,-2.02,3.21,-2.42,-3.42,,3.05,-3.65,,,,-3.69,1.24
,,,,,,-1.15,,-1.84,,4.32,-0.27,-2.06,3.21,-2.42,-3.45,,3.05,-3.65,,,,-3.84,1.17
,,,,,,-1.15,,-1.74,,4.37,-0.28,-2.16,3.26,-2.39,-3.45,,3.16,-3.63,,,,-3.84,0.58
,,,,,,-1.13,,-1.63,,,-0.31,-2.25,3.26,-2.37,-3.45,,3.16,-3.6,,,,-3.84,0.59
,,,,,,-1.13,,-1.53,,,-0.32,-2.31,3.37,-2.35,-3.42,,3.26,-3.59,,,,-3.84,
,,,,,,-1.11,,-1.42,,,-0.35,-2.35,3.37,-2.35,-3.42,,3.26,-3.57,,,,-3.84,
,,,,,,-1.11,,-1.32,,,-0.38,-2.45,3.32,-2.32,-3.42,,3.37,-3.54,,,,-3.84,
,,,,,,-1.07,,-1.21,,,-0.41,-2.49,3.32,-2.32,-3.42,,3.37,-3.53,,,,-3.84,
,,,,,,-1.05,,-1.16,,,-0.44,-2.55,,-2.28,-3.42,,3.47,-3.53,,,,-3.84,
,,,,,,-1.05,,-1.16,,,-0.46,-2.68,,-2.25,-3.33,,3.47,-3.51,,,,-3.84,
,,,,,,-1.03,,-0.79,,,-0.49,-2.74,,-2.22,-3.33,,3.53,-3.47,,,,-3.84,
,,,,,,-1,,-0.68,,,-0.51,-2.78,,-2.18,-3.33,,,-3.44,,,,-3.84,
,,,,,,-0.98,,-0.58,,,-0.54,-2.83,,-2.17,-3.33,,,-3.41,,,,-3.81,
,,,,,,-0.98,,-0.47,,,-0.57,-2.88,,-2.13,-3.33,,,-3.38,,,,-3.81,
,,,,,,-0.96,,-0.37,,,-0.59,-2.98,,-2.13,-3.33,,,-3.37,,,,-3.81,
,,,,,,-0.93,,-0.26,,,-0.63,-3.36,,-2.12,-3.33,,,-3.34,,,,-3.81,
,,,,,,-0.91,,-0.16,,,-0.65,-4.52,,-2.09,-3.33,,,-3.31,,,,-3.81,
,,,,,,-0.88,,-0.05,,,-0.67,-4.95,,-2.08,-3.33,,,-3.27,,,,-3.81,
,,,,,,-0.88,,0.05,,,-0.71,-4.99,,-2.04,-3.33,,,-3.26,,,,-3.81,
,,,,,,-0.85,,0.16,,,-0.74,-4.99,,-2.03,-3.33,,,-3.24,,,,-3.81,
,,,,,,-0.83,,0.26,,,-0.75,-5.04,,-2.01,-3.33,,,-3.2,,,,-3.79,
,,,,,,-0.81,,0.47,,,-0.8,-4.99,,-1.98,-3.33,,,-3.17,,,,-3.79,
,,,,,,-0.78,,0.58,,,-0.81,-4.99,,-1.98,-3.26,,,-3.14,,,,-3.79,
,,,,,,-0.76,,0.68,,,-0.84,-4.89,,-1.95,-3.23,,,-3.11,,,,-3.79,
,,,,,,-0.76,,0.79,,,-0.86,-4.89,,-1.93,-3.21,,,-3.05,,,,-3.77,
,,,,,,-0.74,,0.89,,,-0.91,-4.89,,-1.91,-3.18,,,-3.02,,,,-3.77,
,,,,,,-0.72,,1,,,-0.96,-4.85,,-1.87,-3.15,,,-2.99,,,,-3.77,
,,,,,,-0.72,,1.21,,,-0.99,-4.75,,-1.86,-3.08,,,-2.96,,,,-3.77,
,,,,,,-0.68,,1.32,,,-1.02,-4.75,,-1.85,-2.99,,,-2.95,,,,-3.77,
,,,,,,-0.66,,1.53,,,-1.03,-4.71,,-1.82,-2.96,,,-2.92,,,,-3.62,
,,,,,,-0.64,,1.63,,,-1.05,-4.71,,-1.79,-2.86,,,-2.89,,,,-3.62,
,,,,,,-0.61,,1.74,,,-1.08,-4.65,,-1.77,-2.75,,,-2.83,,,,-3.62,
,,,,,,-0.59,,1.84,,,-1.09,-4.61,,-1.75,-2.59,,,-2.79,,,,-3.6,
,,,,,,-0.59,,2.05,,,-1.09,-4.56,,-1.74,-2.46,,,-2.77,,,,-3.6,
,,,,,,-0.57,,2.16,,,-1.15,-4.52,,-1.69,-2.37,,,-2.73,,,,-3.6,
,,,,,,-0.54,,2.47,,,-1.19,-4.52,,-1.72,-2.35,,,-2.68,,,,-3.57,
,,,,,,-0.52,,2.58,,,-1.25,-4.52,,-1.68,-2.25,,,-2.66,,,,-3.57,
,,,,,,-0.49,,3.21,,,-1.29,-4.52,,-1.66,-2.16,,,-2.63,,,,-3.57,
,,,,,,-0.46,,3.68,,,-1.34,-1.48,,-1.63,-2.03,,,-2.59,,,,-3.57,
,,,,,,-0.46,,3.68,,,-1.37,-1.39,,-1.61,-2,,,-2.57,,,,-3.57,
,,,,,,-0.44,,4.05,,,-1.42,-1.29,,-1.59,-1.92,,,-2.54,,,,-3.55,
,,,,,,-0.42,,4.26,,,-1.46,-1.15,,-1.56,-1.82,,,-2.51,,,,-3.53,
,,,,,,-0.42,,4.63,,,-1.48,-1.05,,-1.51,-1.73,,,-2.47,,,,-3.53,
,,,,,,-0.39,,4.63,,,-1.53,-0.96,,-1.45,-1.6,,,-2.41,,,,-3.53,
,,,,,,-0.37,,4.74,,,-1.58,-0.86,,-1.4,-1.51,,,-2.4,,,,-3.53,
,,,,,,-0.35,,4.74,,,-1.59,-0.86,,-1.37,-1.48,,,-2.35,,,,-3.53,
