Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
,,,,,,-2.67,,-3.32,,,-2.58,3.8,,1.45,3.02,,,-3.79,,,,1.36,
,,,,,,-2.67,,-3.21,,,-2.58,4.08,,1.45,2.72,,,-3.81,,,,1.33,
,,,,,,-2.67,,-3.11,,,-2.57,4.23,,1.47,2.22,,,-3.81,,,,1.31,
,,,,,,-2.67,,-2.37,,,-2.57,3.51,,1.48,1.98,,,-3.81,,,,1.28,
,,,,,,-2.67,,-2.32,,,-2.57,1.59,,1.51,1.98,,,-3.81,,,,1.25,
,,,,,,-2.73,,,,,-2.57,1.63,,1.53,1.98,,,-3.82,,,,1.23,
,,,,,,-2.73,,,,,-2.57,,,1.53,1.98,,,-3.84,,,,1.23,
,,,,,,-2.73,,,,,-2.57,,,1.54,1.95,,,-3.85,,,,1.21,
,,,,,,-2.73,,,,,-2.57,,,1.54,1.92,,,-3.85,,,,1.18,
,,,,,,-2.73,,,,,-2.55,,,1.56,1.88,,,-3.87,,,,1.18,
,,,,,,-2.73,,,,,-2.55,,,1.58,1.88,,,-3.87,,,,1.16,
,,,,,,-2.73,,,,,-2.55,,,1.59,1.85,,,-3.87,,,,1.14,
,,,,,,-2.73,,,,,-2.54,,,1.59,1.82,,,-3.87,,,,1.12,
,,,,,,-2.73,,,,,-2.54,,,1.59,1.79,,,-3.88,,,,1.08,
,,,,,,-2.73,,,,,-2.52,,,1.59,1.79,,,-3.88,,,,1.06,
,,,,,,-2.73,,,,,-2.52,,,1.61,1.73,,,-3.91,,,,1.04,
,,,,,,-2.75,,,,,-2.48,,,1.61,1.69,,,-3.91,,,,1.01,
,,,,,,-2.75,,,,,-2.47,,,1.61,1.66,,,-3.92,,,,0.99,
,,,,,,-2.75,,,,,-2.44,,,1.61,1.6,,,-3.92,,,,0.97,
,,,,,,-2.75,,,,,-2.42,,,1.61,1.57,,,-3.94,,,,0.95,
,,,,,,-2.75,,,,,-2.39,,,1.61,1.52,,,-3.95,,,,0.95,
,,,,,,-2.75,,,,,-2.38,,,1.61,1.48,,,-3.95,,,,0.92,
,,,,,,-2.75,,,,,-2.38,,,1.61,1.45,,,-3.97,,,,0.89,
,,,,,,-2.73,,,,,-2.38,,,1.61,1.36,,,-3.97,,,,0.87,
,,,,,,-2.73,,,,,-2.36,,,1.61,1.26,,,-3.97,,,,0.84,
,,,,,,-2.73,,,,,-2.35,,,1.61,1.17,,,-3.97,,,,0.82,
,,,,,,-2.73,,,,,-2.35,,,1.61,1.11,,,-3.95,,,,0.8,
,,,,,,-2.73,,,,,-2.29,,,1.61,1.05,,,-3.95,,,,0.77,
,,,,,,-2.69,,,,,-2.26,,,1.61,0.93,,,-3.95,,,,0.75,
,,,,,,-2.69,,,,,-2.26,,,1.61,0.86,,,-3.95,,,,0.73,
,,,,,,-2.69,,,,,-2.24,,,1.61,0.65,,,-3.95,,,,0.71,
,,,,,,-2.69,,,,,-2.21,,,1.61,0.62,,,-3.95,,,,0.67,
,,,,,,-2.69,,,,,-2.2,,,1.61,0.49,,,-3.95,,,,0.65,
,,,,,,-2.69,,,,,-2.18,,,1.61,0.37,,,-3.95,,,,0.63,
,,,,,,-2.67,,,,,-2.18,,,1.61,0.24,,,-3.95,,,,0.6,
,,,,,,-2.67,,,,,-2.15,,,1.61,0.09,,,-3.95,,,,0.58,
