Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
,1.25,,,-1.25,2.5,1.61,,-3.5,,-1.65,0.62,0,-1.05,-2.45,-2.28,1.25,-1.15,-3.63,1.55,,,3.21,1.65
,1.55,,,-1.15,2.55,1.5,,-3.6,,-1.35,0.6,-0.09,-0.95,-2.45,-2.37,1.35,-1.05,-3.63,1.65,,,3.21,1.63
,2.45,,,-0.95,2.65,1.21,,-3.6,,-0.95,0.54,-0.14,-0.65,-2.45,-2.43,1.45,-0.85,-3.63,1.75,,,3.23,1.63
,2.55,,,-0.75,2.9,0.88,,-3.7,,-0.85,0.5,-0.18,-0.55,-2.45,-2.49,1.55,-0.75,-3.63,2.2,,,3.26,1.63
,3.45,,,-0.65,2.9,0.52,,-3.7,,-0.65,0.47,-0.32,-0.45,-2.46,-2.49,1.75,-0.35,-3.63,2.2,,,3.28,1.62
,3.7,,,-0.55,2.95,0.25,,-3.8,,-0.55,0.45,-0.36,-0.35,-2.46,-2.55,1.85,-0.25,-3.63,2.3,,,3.28,1.61
,3.7,,,-0.15,,-0.08,,-3.8,,-0.15,0.41,-0.41,0.25,-2.48,-2.55,1.95,0.35,-3.63,2.3,,,3.3,1.61
,3.75,,,-0.05,,-0.46,,-3.9,,-0.05,0.36,-0.46,0.55,-2.48,-2.64,2.05,0.45,-3.63,2.8,,,3.3,1.59
,3.95,,,0.05,,-0.71,,-3.9,,0.55,0.33,-0.5,0.95,-2.49,-2.64,2.25,0.85,-3.62,2.8,,,3.33,1.58
,4.2,,,0.25,,-1.08,,-4,,0.65,0.33,-0.59,1.3,-2.49,-2.69,2.35,0.95,-3.62,3.2,,,3.35,1.57
,4.2,,,0.35,,-1.41,,-4,,1.55,0.3,-0.64,1.3,-2.49,-2.72,2.45,1.05,-3.62,3.2,,,3.37,1.54
,4.25,,,0.45,,-1.75,,-3.9,,1.65,0.29,-0.68,1.35,-2.49,-2.72,2.65,1.15,-3.6,3.4,,,3.39,1.53
,4.45,,,1.55,,-2.25,,-3.9,,1.85,0.26,-0.73,1.75,-2.49,-2.75,2.75,1.25,-3.6,3.4,,,3.39,1.51
,4.65,,,1.65,,-2.48,,-3.7,,1.95,0.21,-0.78,2.2,-2.49,-2.81,2.85,1.7,-3.6,3.45,,,3.42,1.49
,,,,1.75,,-2.73,,-3.7,,2.05,0.17,-0.82,2.2,-2.48,-2.81,2.95,1.7,-3.6,,,,3.44,1.46
,,,,2.05,,-2.85,,-3.6,,2.15,0.15,-0.87,2.3,-2.48,-2.84,3.3,1.8,-3.6,,,,3.44,1.45
,,,,3.05,,-2.85,,-3.6,,2.25,0.14,-0.96,2.3,-2.48,-2.84,3.3,1.8,-3.6,,,,3.46,1.43
,,,,3.15,,-2.68,,-3.25,,2.35,0.12,-1.09,2.5,-2.46,-2.87,3.4,2.2,-3.6,,,,3.46,1.41
,,,,3.25,,-2.48,,-3.15,,2.45,0.11,-1.14,2.5,-2.46,-2.9,3.4,2.2,-3.6,,,,3.46,1.39
,,,,3.65,,-1.93,,-2.95,,2.65,0.06,-1.23,2.6,-2.46,-2.96,3.8,2.4,-3.59,,,,3.49,1.39
,,,,3.75,,-1.31,,-2.85,,2.75,0.05,-1.32,2.6,-2.43,-3.02,3.8,2.4,-3.57,,,,3.49,1.37
,,,,4.1,,-1.23,,-2.75,,2.85,0,-1.41,2.7,-2.43,-3.05,3.85,2.5,-3.56,,,,3.53,1.34
,,,,4.1,,-1.21,,-2.65,,2.95,-0.05,-1.46,2.7,-2.4,-3.07,,2.5,-3.56,,,,3.46,1.31
,,,,4.15,,-1.19,,-2.55,,3.15,-0.05,-1.55,2.9,-2.4,-3.13,,2.6,-3.54,,,,3.03,1.3
,,,,,,-1.19,,-2.45,,3.25,-0.06,-1.64,2.9,-2.38,-3.13,,2.6,-3.53,,,,1.72,1.3
,,,,,,-1.19,,-2.3,,3.7,-0.08,-1.69,3,-2.36,-3.16,,2.7,-3.51,,,,0.87,1.26
,,,,,,-1.16,,-2.3,,3.7,-0.12,-1.73,3,-2.35,-3.19,,2.7,-3.5,,,,-0.64,1.26
,,,,,,-1.14,,-2.2,,4,-0.15,-1.87,3.1,-2.33,-3.22,,2.8,-3.5,,,,-1.95,1.22
,,,,,,-1.12,,-2.2,,4,-0.18,-1.92,3.1,-2.32,-3.25,,2.8,-3.48,,,,-2.89,1.21
,,,,,,-1.12,,-1.85,,4.1,-0.21,-1.92,3.05,-2.3,-3.25,,2.9,-3.47,,,,-3.51,1.18
,,,,,,-1.09,,-1.75,,4.1,-0.26,-1.96,3.05,-2.3,-3.28,,2.9,-3.47,,,,-3.65,1.11
,,,,,,-1.09,,-1.65,,4.15,-0.27,-2.05,3.1,-2.27,-3.28,,3,-3.45,,,,-3.65,0.55
,,,,,,-1.07,,-1.55,,,-0.29,-2.14,3.1,-2.25,-3.28,,3,-3.42,,,,-3.65,0.56
,,,,,,-1.07,,-1.45,,,-0.3,-2.19,3.2,-2.23,-3.25,,3.1,-3.41,,,,-3.65,
,,,,,,-1.05,,-1.35,,,-0.33,-2.23,3.2,-2.23,-3.25,,3.1,-3.39,,,,-3.65,
,,,,,,-1.05,,-1.25,,,-0.36,-2.33,3.15,-2.2,-3.25,,3.2,-3.36,,,,-3.65,
