Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
,,,,-4,,-0.07,,-1.15,,-3.6,-2.65,-3.83,-2.35,0.05,-0.76,-2.25,-3.55,-3.31,,,,0.37,-0.94
,,,,-3.9,,-0.68,,-1.5,,-3.5,-2.65,-3.83,-2.15,0.06,-0.76,-2.15,-3.15,-3.35,,,,0.39,-0.96
,,,,-3.9,,-1.05,,-1.5,,-3.5,-2.66,-3.88,-2.05,0.11,-0.73,-1.65,-3.05,-3.37,,,,0.41,-0.99
,,,,-3.5,,-1.55,,-1.7,,-3.3,-2.69,-3.88,-1.95,0.16,-0.64,-1.25,-2.85,-3.37,,,,0.41,-1.01
,,,,-3.5,,-1.93,,-1.7,,-3.3,-2.69,-3.88,-1.85,0.23,-0.56,-1.15,-2.75,-3.37,,,,0.48,-1.03
,,,,-3.15,,-1.98,,-1.8,,-3.2,-2.71,-3.88,-1.75,0.28,-0.5,-1.1,-2.65,-3.38,,,,0.94,-1.07
,,,,-3.05,,-1.98,,-1.8,,-3.2,-2.71,-3.88,-1.65,0.34,-0.47,,-2.55,-3.4,,,,1.95,-1.09
,,,,-3,,-1.98,,-1.9,,-3,-2.72,-3.88,-1.45,0.36,-0.38,,-2.45,-3.4,,,,2.55,-1.11
,,,,,,-2,,-1.9,,-3,-2.72,-3.88,-1.35,0.39,-0.35,,-2.35,-3.4,,,,3.08,-1.13
,,,,,,-2.03,,-2.05,,-2.55,-2.72,-3.88,-1.25,0.42,-0.23,,-2.25,-3.41,,,,3.42,-1.15
,,,,,,-2.03,,-2.35,,-2.45,-2.72,-3.88,-1.05,0.47,-0.09,,-2.15,-3.41,,,,3.56,-1.17
,,,,,,-2.03,,-2.45,,-2.15,-2.72,-3.88,-0.95,0.5,0.03,,-2.05,-3.4,,,,3.58,-1.21
,,,,,,-2.03,,-2.55,,-2.05,-2.72,-3.88,-0.35,0.52,0.15,,-1.85,-3.4,,,,3.47,-1.21
,,,,,,-2.05,,-2.9,,-1.95,-2.74,-3.83,-0.3,0.57,0.18,,-1.75,-3.41,,,,3.05,-1.22
,,,,,,-2.07,,-2.9,,-1.85,-2.75,-3.83,-0.2,0.58,0.23,,-1.55,-3.43,,,,2.57,-1.29
,,,,,,-2.1,,-3,,-1.8,-2.75,-3.83,-0.15,0.62,0.32,,-1.45,-3.44,,,,2.55,-1.62
,,,,,,-2.1,,-3,,,-2.75,-3.83,-0.05,0.62,0.38,,-1.25,-3.44,,,,2.52,-1.64
,,,,,,-2.12,,-3.1,,,-2.75,-3.83,0.05,0.63,0.44,,-1.15,-3.46,,,,2.5,
,,,,,,-2.12,,-3.1,,,-2.75,-3.83,0.85,0.65,0.53,,-0.85,-3.47,,,,2.48,
,,,,,,-2.14,,-3.2,,,-2.75,-3.83,0.9,0.68,0.64,,-0.75,-3.5,,,,2.46,
,,,,,,-2.14,,-3.2,,,-2.75,-3.83,1,0.7,0.7,,-0.45,-3.5,,,,2.43,
,,,,,,-2.14,,-3.25,,,-2.77,-3.83,,0.73,0.73,,-0.35,-3.52,,,,2.41,
,,,,,,-2.17,,-3.75,,,-2.77,-3.83,,0.75,0.73,,0.65,-3.52,,,,2.39,
,,,,,,-2.19,,-4.1,,,-2.77,-3.83,,0.79,0.85,,0.7,-3.52,,,,2.36,
,,,,,,-2.19,,-4.1,,,-2.77,-3.83,,0.84,0.97,,,-3.52,,,,2.34,
